,varori,importance,var,var2
4,dest_tas,0.14075,Temperatura destino,24.075
9,vel_viento_mod_orig,0.131,Velocidad del viento,23.1
7,orig_tas,0.12775,Temperatura Santiago,22.775
5,dest_pr,0.05575,Precipitación destino,15.575
6,ori_pr,0.053,Precipitación Santiago,15.3
8,distancia,0.049,Distancia reccorrida,14.9
79,periodo_dia_tarde,0.0305,Periodo del día,13.05
13,mes_Febrero,0.0285,Febrero,12.85
75,dia_nomi_Mi,0.02775,dia_nomi,
15,mes_Junio,0.022,mes,
72,dia_nomi_Ju,0.02175,dia_nomi,
17,mes_Mayo,0.02125,mes,
10,mes_Agosto,0.02025,mes,
11,mes_Diciembre,0.01875,mes,
16,mes_Marzo,0.01875,mes,
73,dia_nomi_Lu,0.01875,dia_nomi,
78,periodo_dia_noche,0.01675,periodo_dia,
0,quincena,0.01625,quincena,
20,mes_Septiembre,0.01525,mes,
18,mes_Noviembre,0.015,mes,
1,temporada_alta,0.01425,temporada,
77,dia_nomi_Vi,0.01425,dia_nomi,
80,wind_dir_Noroeste,0.01325,wind_dir,
81,wind_dir_Sureste,0.013,wind_dir,
82,wind_dir_Suroeste,0.013,wind_dir,
19,mes_Octubre,0.0125,mes,
76,dia_nomi_Sa,0.0125,dia_nomi,
12,mes_Enero,0.01175,mes,
14,mes_Julio,0.01125,mes,
74,dia_nomi_Ma,0.01075,dia_nomi,
36,dest_oper_SANU,0.00375,dest_oper,
30,dest_oper_SAAR,0.0025,dest_oper,
2,dif_vuelo_prog_oper,0.00225,dif_vuelo_prog,
57,dest_oper_SCQP,0.0015,dest_oper,
34,dest_oper_SAME,0.0015,dest_oper,
3,tipo_vuelo,0.0015,tipo,
51,dest_oper_SCFA,0.00075,dest_oper,
48,dest_oper_SCCF,0.00075,dest_oper,
39,dest_oper_SAZS,0.00075,dest_oper,
38,dest_oper_SAZN,0.00075,dest_oper,
64,dest_oper_SKBO,0.0005,dest_oper,
31,dest_oper_SABE,0.0005,dest_oper,
29,dest_oper_NZAA,0.0005,dest_oper,
71,dest_oper_YMML,0.0005,dest_oper,
55,dest_oper_SCNT,0.00025,dest_oper,
65,dest_oper_SLCB,0.00025,dest_oper,
63,dest_oper_SGAS,0.00025,dest_oper,
62,dest_oper_SEQM,0.00025,dest_oper,
60,dest_oper_SCVD,0.00025,dest_oper,
66,dest_oper_SLLP,0.00025,dest_oper,
69,dest_oper_SPSO,0.00025,dest_oper,
58,dest_oper_SCSE,0.00025,dest_oper,
70,dest_oper_SUMU,0.00025,dest_oper,
56,dest_oper_SCPQ,0.00025,dest_oper,
41,dest_oper_SBFI,0.00025,dest_oper,
26,dest_oper_MDPC,0.00025,dest_oper,
53,dest_oper_SCIP,0.00025,dest_oper,
27,dest_oper_MMMX,0.00025,dest_oper,
28,dest_oper_MMUN,0.00025,dest_oper,
32,dest_oper_SACO,0.00025,dest_oper,
35,dest_oper_SANT,0.00025,dest_oper,
37,dest_oper_SAWH,0.00025,dest_oper,
40,dest_oper_SBCT,0.00025,dest_oper,
24,dest_oper_KMIA,0.00025,dest_oper,
42,dest_oper_SBFL,0.00025,dest_oper,
43,dest_oper_SBGL,0.00025,dest_oper,
44,dest_oper_SBGR,0.00025,dest_oper,
45,dest_oper_SCAR,0.00025,dest_oper,
47,dest_oper_SCBA,0.00025,dest_oper,
50,dest_oper_SCDA,0.00025,dest_oper,
49,dest_oper_SCCI,0.00025,dest_oper,
21,dest_oper_KJFK,0,dest_oper,
22,dest_oper_KLAX,0,dest_oper,
25,dest_oper_LEMD,0,dest_oper,
23,dest_oper_KMCO,0,dest_oper,
68,dest_oper_SPJC,0,dest_oper,
67,dest_oper_SLVR,0,dest_oper,
61,dest_oper_SEGU,0,dest_oper,
59,dest_oper_SCTE,0,dest_oper,
52,dest_oper_SCIE,0,dest_oper,
46,dest_oper_SCAT,0,dest_oper,
33,dest_oper_SAEZ,0,dest_oper,
54,dest_oper_SCJO,0,dest_oper,
