,var3,importance,var,var2
5,dest_pr,8.6138699557709,Precipitación destino,18.6138699557709
9,vel_viento_mod_orig,8.26090044261663,Velocidad del viento,18.2609004426166
69,periodo_dia_tarde,8.04937213448465,Periodo del día,18.0493721344847
6,ori_pr,7.28643207491727,Precipitación Santiago,17.2864320749173
4,dest_tas,5.71023761387962,Temperatura destino,15.7102376138796
68,periodo_dia_noche,5.5583215778777,Periodo del dìa,15.5583215778777
7,orig_tas,5.09475996380993,orig,
0,quincena,3.99056700269314,quincena,
8,distancia,3.58051267888913,distancia,
71,wind_dir_Sureste,2.25723951353681,wind_dir,
72,wind_dir_Suroeste,2.07773004370397,wind_dir,
63,dia_nomi_Lu,2.06264030126006,dia_nomi,
11,mes_Diciembre,1.97646501173344,mes,
67,dia_nomi_Vi,1.96033710346513,dia_nomi,
62,dia_nomi_Ju,1.72646540648447,dia_nomi,
1,temporada_alta,1.71652044325695,temporada,
65,dia_nomi_Mi,1.65633129096485,dia_nomi,
2,dif_vuelo_prog_oper,1.52833418398781,dif_vuelo_prog,
64,dia_nomi_Ma,1.49816149661919,dia_nomi,
3,tipo_vuelo,1.44687261009575,tipo,
70,wind_dir_Noroeste,1.44446345472934,wind_dir,
66,dia_nomi_Sa,1.39722116101428,dia_nomi,
33,dest_oper_SABE,1.09690014937552,dest_oper,
19,mes_Octubre,1.07771753172763,mes,
14,mes_Julio,1.03613112998549,mes,
18,mes_Noviembre,1.02399997370581,mes,
17,mes_Mayo,0.993672599956786,mes,
12,mes_Enero,0.945397469838923,mes,
57,dest_oper_SPJC,0.898632031960215,dest_oper,
13,mes_Febrero,0.89788435091326,mes,
15,mes_Junio,0.837577720980987,mes,
40,dest_oper_SBGR,0.83623564084815,dest_oper,
16,mes_Marzo,0.802990200657435,mes,
35,dest_oper_SAEZ,0.802662467276962,dest_oper,
44,dest_oper_SCCF,0.769312922132813,dest_oper,
31,dest_oper_MPTO,0.743373451711926,dest_oper,
55,dest_oper_SKBO,0.737844576034776,dest_oper,
10,mes_Agosto,0.705978261283854,mes,
46,dest_oper_SCDA,0.674547869038049,dest_oper,
47,dest_oper_SCFA,0.617537784097872,dest_oper,
41,dest_oper_SCAR,0.546880555767154,dest_oper,
53,dest_oper_SCTE,0.482988110337939,dest_oper,
20,mes_Septiembre,0.48100082948999,mes,
61,dest_oper_YSSY,0.434948622803859,dest_oper,
27,dest_oper_LEMD,0.289439844141112,dest_oper,
51,dest_oper_SCQP,0.286177043898802,dest_oper,
45,dest_oper_SCCI,0.257635450285196,dest_oper,
34,dest_oper_SACO,0.252406813660677,dest_oper,
42,dest_oper_SCAT,0.240626109593602,dest_oper,
54,dest_oper_SCVD,0.235791004858869,dest_oper,
52,dest_oper_SCSE,0.229500176218874,dest_oper,
59,dest_oper_SUMU,0.189079928222473,dest_oper,
28,dest_oper_LFPG,0.174138475636144,dest_oper,
48,dest_oper_SCIE,0.169327159675888,dest_oper,
36,dest_oper_SAME,0.159403094527648,dest_oper,
26,dest_oper_KMIA,0.158379771214507,dest_oper,
25,dest_oper_KIAH,0.151015399551546,dest_oper,
30,dest_oper_MMMX,0.144236740303489,dest_oper,
23,dest_oper_KDFW,0.135341885997405,dest_oper,
22,dest_oper_KATL,0.108069235107719,dest_oper,
39,dest_oper_SBGL,0.101330504938879,dest_oper,
49,dest_oper_SCJO,0.088131196402873,dest_oper,
29,dest_oper_LIRF,0.074930807012687,dest_oper,
21,dest_oper_EGLL,0.072498083117952,dest_oper,
32,dest_oper_SAAR,0.066104136080639,dest_oper,
43,dest_oper_SCBA,0.061224082048867,dest_oper,
38,dest_oper_SBFL,0.007759992744367,dest_oper,
58,dest_oper_SULS,0.004972333278998,dest_oper,
50,dest_oper_SCNT,0.00348200405985,dest_oper,
56,dest_oper_SLLP,0.001029011704496,dest_oper,
60,dest_oper_YMML,0,dest_oper,
24,dest_oper_KIAD,0,dest_oper,
37,dest_oper_SBCT,0,dest_oper,
